Fecha,Ticker,Accion,Titulos,Precio_Ejecucion
2025-05-06,VOO,Buy,0.0234187663,515.2688
2025-06-20,ITA,Buy,0.02769789417,180.3888
2025-06-20,NLR,Buy,0.04590632990000001,108.8388
2025-06-20,NVDA,Buy,0.024808005210000005,143.8588
2025-06-20,IXN,Buy,0.03276849844,87.1288
2025-06-20,VST,Buy,0.015580346920000002,183.2488
2025-06-20,MU,Buy,0.03500884163,122.3688
2025-07-07,NVDA,Buy,0.01620954956,158.0488
2025-07-07,MU,Buy,0.015212244360000002,120.2288
2025-07-07,PLTR,Buy,0.01063738829,137.5488
2025-07-07,VOO,Buy,0.0038622190600000003,568.2588
2025-07-07,IXN,Buy,0.014808193000000002,92.2388
2025-07-07,VOO,Buy,0.00531363679,568.5088
2025-07-15,NVDA,Buy,0.0645042854,169.6988
2025-07-15,AMZN,Buy,0.03858597054,226.9488
2025-07-15,PLTR,Buy,0.03903193842,149.5588
2025-07-28,SCHD,Buy,0.274,27.2888
2025-07-28,SCHD,Buy,0.05147088904000001,27.2888
2025-07-28,JEPI,Buy,0.10743614665000001,57.2299
2025-07-28,VYM,Buy,0.045137381780000006,136.2188
2025-07-28,VNQ,Buy,0.06152924272,91.045
2025-07-28,BMO,Buy,0.050802908550000005,113.45
2025-09-03,ITA,Buy,0.00741407969,197.3488
2025-09-03,NVDA,Buy,0.0085475533,171.1788
2025-09-03,JEPI,Buy,0.025892604070000002,56.5088
2025-09-05,NVDA,Buy,0.008745092230000001,166.9988
2025-09-05,AMZN,Buy,0.0031380041800000004,232.6988
2025-09-05,IXN,Buy,0.007637476000000001,95.6088
2025-09-05,VNQ,Buy,0.023725818920000002,92.3888
2025-09-11,NVDA,Buy,0.0124623557,177.3188
2025-09-11,JEPI,Buy,0.03864060751000001,57.1888
2025-12-01,NVDA,Buy,0.014688820790000001,178.3288
2025-12-01,AMZN,Buy,0.0048013842,233.6888
2025-12-01,IXN,Buy,0.00718360322,104.1288
2025-12-01,ITA,Buy,0.0037126479400000005,201.4788
2025-12-01,NLR,Buy,0.004659689210000001,128.1888
2025-12-01,VNQ,Buy,0.00579372178,90.3288
2025-12-01,JEPI,Buy,0.01957866726,57.3088
