Date,Valor_Portafolio,Capital_Invertido,Rendimiento_%
2025-05-06,86.49949668714295,88.07999714512002,-1.7943920404232538
2025-05-07,86.89025148479615,88.07999714512002,-1.3507557889263389
2025-05-08,87.46963591636353,88.07999714512002,-0.692962362102334
2025-05-09,87.35342411972351,88.07999714512002,-0.8249012817284851
2025-05-12,90.26210987236328,88.07999714512002,2.477421432755089
2025-05-13,90.85495331705323,88.07999714512002,3.150495301857492
2025-05-14,90.9678107937561,88.07999714512002,3.2786259562181286
2025-05-15,91.41413879559326,88.07999714512002,3.7853562199598345
2025-05-16,92.00361227033082,88.07999714512002,4.454604055840594
2025-05-19,92.0979401289673,88.07999714512002,4.561697450134261
2025-05-20,91.77118867705079,88.07999714512002,4.190726216588292
2025-05-21,90.2368611810791,88.07999714512002,2.448755796852997
2025-05-22,90.27894928878175,88.07999714512002,2.4965397535591904
2025-05-23,89.66924556098633,88.07999714512002,1.8043238730445
2025-05-27,91.51182619083863,88.07999714512002,3.8962638021710516
2025-05-28,90.9896999484314,88.07999714512002,3.3034774042026482
2025-05-29,91.34003075667114,88.07999714512002,3.7012190249960053
2025-05-30,91.24571333137818,88.07999714512002,3.5941374760064537
2025-06-02,91.77623841530762,88.07999714512002,4.19645934376871
2025-06-03,92.2966848894104,88.07999714512002,4.787338647778339
2025-06-04,92.2377260652588,88.07999714512002,4.720400834355765
2025-06-05,91.80655771153565,88.07999714512002,4.230881797459385
2025-06-06,92.744692659552,88.07999714512002,5.29597600547882
2025-06-09,92.8440493897583,88.07999714512002,5.408778836344719
2025-06-10,93.37291557207031,88.07999714512002,6.009217300756409
2025-06-11,93.11521198747559,88.07999714512002,5.716638289689757
2025-06-12,93.46723299736328,88.07999714512002,6.1162988497459825
2025-06-13,92.42636091584473,88.07999714512002,4.934563932334912
2025-06-16,93.31900648617554,88.07999714512002,5.948012614514231
2025-06-17,92.52403787774658,88.07999714512002,5.045459669242036
2025-06-18,92.50551869302369,88.07999714512002,5.02443425447916
2025-06-20,262.6215525163691,260.019992573468,1.0005230433063783
2025-06-23,264.51545886432626,260.019992573468,1.7288925541323774
2025-06-24,268.76859909377674,260.019992573468,3.364589943150942
2025-06-25,269.29264010876875,260.019992573468,3.5661286824630434
2025-06-26,271.70233365182884,260.019992573468,4.4928626305763775
2025-06-27,273.0693787109379,260.019992573468,5.018608764779042
